actual,predicted
39827.75965797138,39298.55597376154
39417.76800618188,38978.630083933574
39779.198153916455,38817.37513211965
39524.86015514506,38256.45287368343
39570.010136449084,38199.30401258962
39514.910531012276,38824.89297287278
39496.12763916176,37825.45342390153
39761.648718804245,38756.350250326
39900.896616533966,38804.82197746643
40124.55823395597,38765.800246412895
39957.03841484777,38714.48688476141
40199.3502104206,38310.166791961696
40179.692969489755,38765.54652904583
40202.020097790875,38269.47052628557
40161.077921435906,39111.81999160676
40389.43135847644,39637.690219947865
40635.75969513701,38503.23009491649
40418.85866971107,38184.86554273196
40025.32742002748,39173.71141579251
40194.826234598746,39154.91291056556
40099.389471143804,39770.10336214345
40015.14749859229,39460.232486739194
39679.5301654478,39515.69900652221
39299.3522559597,38814.615467834876
39542.94825174425,38551.53007491614
39723.591113745526,38444.33253566203
39849.22024388039,38991.08175163996
40097.46121915417,38887.440158868776
39958.388971909335,38395.1347865174
39890.42004094652,37913.55970712054
40069.91141643576,38752.77869046665
40093.12070050542,38868.801690750275
40141.42848719328,38727.52405408409
40211.489610598306,38981.549785326795
39971.50030477008,39296.84240569787
40143.79001037898,38829.858026578906
40173.837953326874,38853.06731064856
40098.51902540759,38964.49607491638
39820.44088776778,39082.13505966096
39721.139813645335,39018.03824605386
39731.370478553945,38123.14976903109
40548.78928505359,39138.96774988198
40667.82176364494,38797.717891188804
41172.040142215716,39321.25391975297
41020.4303536941,39642.26103589902
41046.512499027674,39458.48378857855
41376.01329195401,40353.23955190162
41067.610073934586,39998.85103693894
41245.910929470716,40450.21032959124
41223.76335499859,40434.25345887534
41304.83971547805,39499.37912480421
41147.737921795655,40089.93557171281
41194.80054171288,39644.173674512225
41489.82699947218,40482.229461313975
41424.98855048444,40134.78109217636
41337.17892141768,39966.863131969076
41291.42782512094,40043.9736948342
41316.44045416876,39638.83389977168
41214.98863744249,40219.046484792525
41274.557571883626,40633.65579266248
41194.44924074311,40541.27144430045
41202.23641223974,40310.91949507633
40960.53744169195,40368.57188756015
40916.940991343145,40297.76522543039
41135.76246207051,40005.70140584951
40630.029585985605,39037.81258730796
40438.601784212304,39185.64784207657
39976.449745099766,39564.23318716838
39951.671316698455,39447.5505217304
39987.199554774816,39136.22369897365
39650.11066090139,39729.949661298415
39785.01023329414,39281.42419646896
39921.24865271613,39055.07707830024
39982.398441521254,38604.94733904215
39846.07024518476,38694.6149599046
39961.53116391675,38249.21997705023
39860.46968160133,38965.678788181285
39967.78822452281,38847.477721885065
40030.58912788586,38755.76474870971
40217.19239634095,39033.89753316705
40119.800057487606,38864.7226961568
40141.57681426941,39210.60582430687
40053.6110514383,38178.9753964721
40244.301121175085,38677.381695665186
40162.268441389024,38767.49039441191
40129.85897525543,39097.49471872825
40276.42173984464,39069.7887822455
40220.79908629728,39604.425921454495
40162.190374506856,38831.79798860087
40060.59023070446,39315.26228654629
40457.6930402474,39144.71737575393
40436.216840961955,39129.93931495882
40385.352363882965,39686.47811796109
40447.03691083096,39969.11145817562
40410.07614546675,39798.75390790047
40329.67116017398,39558.29229743511
40413.788225714015,39075.206623868224
40443.00085302268,39730.777170249436
40466.79954205273,39234.3967066487
40563.18091478195,39522.48692192704
40567.19745586969,39432.456290062495
40603.39706913272,39581.04879358817
40547.41140458326,39528.65420561861
40441.89230329584,39518.95829885288
40555.15954263881,39941.66704574815
40477.8772326329,39221.01994638858
40441.48635550855,38102.11074428581
40418.10142095401,39798.449447060004
40389.98172999575,39604.15268736689
40350.01929301204,39497.56406979372
40424.780042723796,39833.30630994968
40436.751599104835,39073.091011361365
40469.789503639906,39527.08896463107
40461.94768532576,39961.659974272334
40514.65844416811,38756.15898646468
40073.28000240147,39534.02911045613
40224.550199985635,39543.397136316744
40145.23034435505,39504.48079555413
40203.351138131904,39026.94567730965
40228.64871129965,39174.695058507874
40296.262437948586,39334.533096410385
40513.6084446029,39774.54536773902
40421.8720513629,39026.047908164684
40395.67280570607,39554.29527306792
40395.1419509073,39500.45644777818
40407.00031030919,39540.02855035103
40186.9414794994,39108.67389625524
40250.07807045579,38915.43103947145
40294.88846082237,39499.39864152476
40386.4609136098,39457.93341705924
40347.75145008495,39636.72219060893
40309.45964437972,39681.79020168668
40394.55644929101,39058.04361982276
40437.80159867004,39490.249202934225
40423.33970874773,39222.67106094651
40485.32871653619,38379.07252551057
40443.6917449299,39046.43897778794
40327.73119815201,38655.464418495474
40375.57058354685,39503.62986653846
40451.510143179396,39594.7456280652
40225.85001357379,39487.907196469074
40117.82886871277,39332.44480731229
40131.229049037545,39215.10638006407
40397.98748876246,38957.46224883271
40271.69869347325,39186.23334369285
40223.75001444337,39438.76019079786
39992.00066802838,38566.799957068935
39691.26752118232,39496.71314077805
39737.42066192225,38064.611317434625
39759.556526362045,38738.914012192945
39813.71152252457,38937.99236841908
39820.351110853284,39006.79271167702
38826.25133662257,39151.981499140005
38936.391997334555,38854.07437342858
39008.8263539576,38170.926700920194
38909.076395262666,38321.9900212666
38892.729190135906,38266.238557363664
38986.6904895178,38654.3870955215
38949.39013321615,37573.547208509786
39014.51742966792,38005.58494782458
39408.11893954546,38202.68040524355
39330.16135100877,38254.36068124123
39339.587927031,37899.54670177071
39271.931263596874,38077.94904425366
39471.532667933556,37936.253749767864
40208.96805030416,38180.872421708875
40673.73142662534,38869.8126568744
40664.76154186381,38748.37181496805
40656.876786764464,39419.481574245554
40802.23732136822,39705.11658607959
40934.79879063993,38612.30904603094
40814.60311550423,39229.72830709483
40897.79899183464,39170.42870339719
40766.018191384646,39860.51261838653
