actual,predicted
39827.75965797138,39191.83073914457
39417.76800618188,39171.17424212193
39779.198153916455,38813.97531940106
39524.86015514506,38770.06269817947
39570.010136449084,38783.771242688825
39514.910531012276,38697.63224490054
39496.12763916176,38623.823911151274
39761.648718804245,38713.16755445271
39900.896616533966,38448.20465301775
40124.55823395597,38329.14875436175
39957.03841484777,38528.141237017495
40199.3502104206,38848.480881320975
40179.692969489755,38725.837809429184
40202.020097790875,38699.81421425723
40161.077921435906,38782.088901378025
40389.43135847644,38926.711703945264
40635.75969513701,39044.22187833426
40418.85866971107,39118.52984012942
40025.32742002748,39228.822731261644
40194.826234598746,39161.34562165651
40099.389471143804,39095.49620654465
40015.14749859229,39101.17947556676
39679.5301654478,38905.00520735741
39299.3522559597,38891.792387549845
39542.94825174425,38809.91193818403
39723.591113745526,38541.16279296374
39849.22024388039,38505.21689706776
40097.46121915417,38438.083281744184
39958.388971909335,38487.08196033927
39890.42004094652,38745.49505036003
40069.91141643576,38733.63278761403
40093.12070050542,38748.836312916974
40141.42848719328,38743.54337830573
40211.489610598306,38675.992105162535
39971.50030477008,38674.53225446592
40143.79001037898,38639.000113045455
40173.837953326874,38619.573169417024
40098.51902540759,38644.76535229384
39820.44088776778,38860.33143403464
39721.139813645335,38960.76447794857
39731.370478553945,38867.01786249265
40548.78928505359,38822.41825270794
40667.82176364494,38850.42084334294
41172.040142215716,39136.36421936155
41020.4303536941,39392.06448522684
41046.512499027674,39490.807381141756
41376.01329195401,39600.92462178909
41067.610073934586,39654.84151396099
41245.910929470716,39859.88417998505
41223.76335499859,39828.96579130093
41304.83971547805,39893.24606208113
41147.737921795655,40069.286881378386
41194.80054171288,40040.31235806035
41489.82699947218,39933.766677272375
41424.98855048444,39854.09942401612
41337.17892141768,40256.944052742794
41291.42782512094,40101.914934782064
41316.44045416876,39979.90810797997
41214.98863744249,39899.190855158515
41274.557571883626,39830.60519582654
41194.44924074311,39869.60741015954
41202.23641223974,39832.9979457651
40960.53744169195,39901.5484750001
40916.940991343145,39926.849951511955
41135.76246207051,39871.484918675764
40630.029585985605,39910.31148252387
40438.601784212304,39801.82193636982
39976.449745099766,39615.74171602528
39951.671316698455,39430.465584567115
39987.199554774816,39031.02857524724
39650.11066090139,38879.016742282445
39785.01023329414,38701.73856290277
39921.24865271613,38713.91309317745
39982.398441521254,38802.92495222966
