actual,predicted
39827.75965797138,38575.44976761356
39417.76800618188,38387.300774891475
39779.198153916455,38157.8817249093
39524.86015514506,38016.85390226607
39570.010136449084,37912.70877810487
39514.910531012276,37848.51438089505
39496.12763916176,37801.81867532404
39761.648718804245,37741.3402617056
39900.896616533966,37756.594530481954
40124.55823395597,37827.23334881504
39957.03841484777,37948.45560345131
40199.3502104206,38034.3252704961
40179.692969489755,38107.044571239065
40202.020097790875,38192.05940592408
40161.077921435906,38232.7049281268
40389.43135847644,38266.14097376094
40635.75969513701,38321.396712962094
40418.85866971107,38418.19184016682
40025.32742002748,38464.55966483273
40194.826234598746,38402.25838951558
40099.389471143804,38357.49874262241
40015.14749859229,38318.968832926555
39679.5301654478,38269.517366414875
39299.3522559597,38163.07317257372
39542.94825174425,37982.83625835973
39723.591113745526,37854.93147860957
39849.22024388039,37824.45807115384
40097.46121915417,37852.101554130844
39958.388971909335,37962.796489706256
39890.42004094652,38041.40984005319
40069.91141643576,38036.49552982047
40093.12070050542,38067.363175031176
40141.42848719328,38127.61129134721
40211.489610598306,38159.98562738382
39971.50030477008,38207.70010576719
40143.79001037898,38202.16126047711
40173.837953326874,38205.28783910808
40098.51902540759,38227.98578509951
39820.44088776778,38247.52202236299
39721.139813645335,38203.44155734472
39731.370478553945,38146.74158082339
40548.78928505359,38092.08305327086
40667.82176364494,38190.86498262685
41172.040142215716,38401.47772069386
41020.4303536941,38664.5201768274
41046.512499027674,38873.83310130624
41376.01329195401,38981.34290808904
41067.610073934586,39103.38876833222
41245.910929470716,39188.34895619971
41223.76335499859,39223.22143246582
41304.83971547805,39256.220303559814
41147.737921795655,39291.36211056942
41194.80054171288,39289.15281780396
41489.82699947218,39274.491857332105
41424.98855048444,39316.75726733988
41337.17892141768,39373.84757827207
41291.42782512094,39403.75109748795
41316.44045416876,39406.67860556939
41214.98863744249,39400.48790181317
41274.557571883626,39376.4081720073
41194.44924074311,39361.14999988684
41202.23641223974,39342.847219361676
40960.53744169195,39299.52790644458
40916.940991343145,39244.67811503072
41135.76246207051,39169.96420544827
40630.029585985605,39147.672207244126
40438.601784212304,39079.21145492363
39976.449745099766,38927.51969617574
39951.671316698455,38720.44338787111
39987.199554774816,38499.97080258582
39650.11066090139,38356.87811090915
39785.01023329414,38218.543595700845
39921.24865271613,38115.91687239789
39982.398441521254,38077.22302224947
39846.07024518476,38094.13621227197
39961.53116391675,38103.898475887545
39860.46968160133,38114.56241199221
39967.78822452281,38132.49827817116
40030.58912788586,38142.338608668906
40217.19239634095,38176.08301848764
40119.800057487606,38247.52982905121
40141.57681426941,38304.311775798815
40053.6110514383,38341.56138862706
40244.301121175085,38339.30135238818
40162.268441389024,38368.57252985847
40129.85897525543,38397.45337291791
40276.42173984464,38393.88961974677
40220.79908629728,38424.027339609165
40162.190374506856,38445.90167999368
40060.59023070446,38445.335695097936
40457.6930402474,38421.24815860385
40436.216840961955,38488.522294315335
40385.352363882965,38570.515940660305
40447.03691083096,38604.455517684466
40410.07614546675,38655.77668602416
40329.67116017398,38665.92538070649
40413.788225714015,38645.17520342524
40443.00085302268,38630.31907574796
40466.79954205273,38638.02427701831
40563.18091478195,38647.817767386754
40567.19745586969,38676.503443240756
40603.39706913272,38713.51104873427
40547.41140458326,38760.17552755242
40441.89230329584,38778.06845694618
40555.15954263881,38761.78370532516
40477.8772326329,38754.0277605814
40441.48635550855,38740.58074012731
40418.10142095401,38718.56197601078
40389.98172999575,38699.17016247932
40350.01929301204,38679.7510255391
40424.780042723796,38655.9289164444
40436.751599104835,38653.087281933345
40469.789503639906,38662.94712915164
40461.94768532576,38675.23095306136
40514.65844416811,38685.7075286488
40073.28000240147,38704.62703754312
40224.550199985635,38649.156614416
40145.23034435505,38573.08043773965
40203.351138131904,38514.95183727458
40228.64871129965,38479.911517211796
40296.262437948586,38469.87601950862
40513.6084446029,38485.76653337468
40421.8720513629,38553.372453335396
40395.67280570607,38626.77874264147
40395.1419509073,38662.44750110574
40407.00031030919,38674.40734745445
40186.9414794994,38681.95251161634
40250.07807045579,38645.64750806238
40294.88846082237,38607.109791678304
40386.4609136098,38594.80645104804
40347.75145008495,38606.80533083784
40309.45964437972,38617.30142314582
40394.55644929101,38610.2910171268
40437.80159867004,38619.12428484453
40423.33970874773,38652.8843080397
40485.32871653619,38676.24582252959
40443.6917449299,38695.77034976074
40327.73119815201,38707.601385753864
40375.57058354685,38699.9820580539
40451.510143179396,38665.95270411525
40225.85001357379,38664.26255611623
40117.82886871277,38629.89361124013
40131.229049037545,38559.08304576626
40397.98748876246,38473.974530822634
40271.69869347325,38482.78828181983
40223.75001444337,38505.404257584974
39992.00066802838,38494.31485697248
39691.26752118232,38448.16561957666
39737.42066192225,38310.41660598465
39759.556526362045,38188.39026246201
39813.71152252457,38124.77746352438
39820.351110853284,38103.46520469149
38826.25133662257,38099.881934799814
38936.391997334555,37914.703386944355
39008.8263539576,37665.78713313979
38909.076395262666,37530.54406646549
38892.729190135906,37430.32180313342
38986.6904895178,37371.32275693213
38949.39013321615,37334.46738185886
39014.51742966792,37332.68355360124
39408.11893954546,37343.593400384736
39330.16135100877,37433.27663462362
39339.587927031,37541.04406211759
39271.931263596874,37622.15945603812
39471.532667933556,37630.05592116979
40208.96805030416,37660.66204232522
40673.73142662534,37861.871624434636
40664.76154186381,38189.323161703964
40656.876786764464,38435.85447225818
40802.23732136822,38636.61907313922
40934.79879063993,38794.872353333645
40814.60311550423,38901.46877759504
40897.79899183464,38962.88789714364
40766.018191384646,39030.25961645784
40624.52977413661,39029.60775799171
40708.64683967664,38988.10740342922
40876.3696326785,38958.54737849489
40682.23681343795,38968.2784153576
40732.211328060184,38966.15499616253
40703.06896094547,38953.20370041024
40732.05909763995,38926.711703945264
40673.54016276402,38923.95203966049
40805.85962470099,38906.67974198
40722.121183539486,38913.19442329723
40972.14208372678,38938.74571383203
41438.170143539144,38984.477293408236
41590.73625136736,39113.580399799735
41462.12106298943,39305.402439328005
41351.461257511,39439.326175693604
41358.07742577505,39481.11537772013
41401.90807677037,39479.41351968879
41444.07980651954,39495.526524169036
41302.77094310049,39517.654581920615
41329.66108066455,39494.87856904701
41392.00138942278,39484.10533930731
41505.76825681164,39489.93693540554
41314.44974867338,39526.206808862524
41369.44006047515,39525.77744101058
41397.96960256481,39505.95235628307
41415.4682942036,39502.08023892735
41362.640435037996,39500.46815781051
41460.71195576623,39493.02838393954
41483.230347928664,39502.19733925061
41348.54936280599,39522.557182120996
41503.558964046184,39532.76833030906
41576.21190793931,39537.37427635719
41838.39172502485,39579.780206752876
42113.96001240284,39653.21381946772
42132.66093402707,39787.89480459038
41598.39070916429,39908.52375092214
41566.48867776481,39891.235839865214
41285.03805081519,39825.343487968166
41394.05064507979,39695.29186895828
41390.6469290171,39592.04061059795
40981.44765608165,39550.02891795723
41192.59124894742,39448.444387531265
41425.80825274725,39379.66356099386
41519.269924083244,39394.9997999965
41496.12699686344,39462.73843365691
41375.853254845555,39520.27762916158
41543.66972810602,39524.29026690521
41672.30052986038,39545.52445885592
41643.0371590783,39606.525920584914
41689.64699107894,39656.71902247723
41622.03716777411,39690.026257755795
41482.84001351781,39707.142421671946
41545.4808797724,39685.20172443758
41911.840951116115,39656.110100796286
41955.4295947767,39699.65971101579
41821.23652766761,39780.244250137555
42270.019613208235,39818.981037071164
42456.71656192193,39929.3715118061
42669.12874162299,40095.27534645336
42696.57705739457,40258.46245360103
42520.13029031003,40425.21331391985
42170.60924545075,40485.3326198803
41836.92016429591,40444.63245086007
41575.85280028132,40305.591430368106
41464.07663838783,40115.67422276483
41225.89067753777,39923.696049472215
40596.808224277425,39736.72977001503
40749.327491976335,39469.63564269678
40452.96999387601,39237.69503242046
40470.761436322944,38987.322831263395
40426.19305329111,38834.635719767815
40527.75026030831,38736.30657832841
40497.1987859704,38689.755296489406
40513.49915096786,38680.89860870702
40637.500586609436,38679.356787784134
40680.6715724504,38696.96086971386
40695.34033961048,38741.62683634841
40716.46914127025,38784.25525735829
40412.19956466182,38794.39224200829
40297.49979803101,38773.638161382936
40468.32184625508,38693.803064330015
40598.8887066873,38640.38970354811
40418.32781491231,38653.313675891644
40249.379371860356,38657.14675980627
39876.68026968429,38614.986740089436
39437.88974506165,38508.42544592502
39393.0910647274,38302.41084721793
39352.921750505935,38081.0131693789
39520.73041707818,37927.166764683076
39500.76871530687,37838.104162157455
39631.71810346173,37814.15714605128
39631.67126333243,37803.02090530948
39722.24836337218,37821.40175271681
39726.0307038134,37838.42813971847
39579.81924019396,37881.69280581804
39624.840411142395,37895.495030586004
39507.10774613921,37894.222540406605
39481.57597232495,37861.83649433766
39550.4231557122,37826.51903684317
39589.17945936635,37806.29190767247
39606.736701166774,37823.56030200886
39617.79877837051,37845.76642664261
39652.03891289103,37865.544671240816
39542.518883892306,37882.55934821015
39600.518674001796,37881.583512183
39632.12795459313,37882.57105824247
39717.64632066815,37895.14372961623
39727.94724577071,37911.99836947711
39727.04947662574,37939.364715022406
39812.462452409825,37952.8624789499
39858.47897610595,37975.75168880265
39829.672296584584,38017.369143688404
39699.999301953234,38033.607055180124
39774.966928902744,38029.032335884855
39798.16059959597,38018.99683818168
39922.80999035957,38027.592001908786
39820.72973523181,38057.78827193281
39421.589380064186,38075.40796723897
39581.681135333754,37999.733835005805
39512.49826435317,37935.2271702673
39556.11032807841,37884.45637344692
39775.076222537784,37844.24802578437
39720.050780639045,37868.18333185822
39683.148565436466,37905.710082118174
39770.36098285461,37919.13758585171
39757.038869412005,37944.98553053877
39744.891662546084,37969.006710183014
39772.25020140317,37984.81135047868
39703.94948619112,37989.48365337666
39593.441911132926,37985.79889653815
39577.19228960888,37955.87586060173
39574.07742101023,37920.92141410933
39751.14872315215,37876.86046581161
39656.84002614459,37888.9491225159
39517.20960069224,37911.38554445206
39441.30126781255,37855.153969223764
39664.33835017719,37784.526860923
39712.146508819154,37785.967194899065
39515.30086542314,37835.13762063493
39654.05694179517,37840.848213065794
39572.32091616137,37842.378323956356
39467.39902652256,37859.377387549255
38871.0890503979,37834.329628404455
39119.56812966231,37684.54270158155
39105.340440386506,37548.374542353515
39265.896693605,37469.5894448658
39162.11067710179,37456.73182937212
38977.509824174405,37451.489638234285
38658.14991924218,37419.82180748132
38466.819701071596,37316.82036314394
38424.940722130574,37143.09032355897
38589.32615591959,37014.529781998564
38434.589788767,36933.25825431368
38836.98162957707,36892.70250902547
38817.89818023019,36930.25658269418
38758.82887383496,37014.881082968335
39069.827815686585,37088.701126749926
38989.20033977962,37172.77525550477
39479.81946747608,37256.740090624575
39398.77043040539,37376.990412577805
39868.08900930129,37498.41954445182
40235.38978657518,37679.519097713805
40195.23608573015,37892.63387935441
40236.84963727179,38065.98919790496
40347.3181788889,38172.925213103794
40441.10773113002,38286.27832601714
40572.45916372806,38382.324011153025
40483.357527761356,38490.20073228203
40549.99932172726,38551.16706391404
40547.200624001394,38582.91686489328
40573.712137186914,38613.71424991004
40599.21658759242,38633.14509688258
40527.00081823946,38655.65177901269
40604.673462656225,38651.23709682588
40522.80081997862,38650.73356543587
40386.57801393306,38662.65437834349
40382.28043206951,38626.56015537139
40479.89916488115,38587.48377750033
40290.06002416004,38567.244938297314
39810.15947938576,38540.698295014816
39278.641112119534,38413.88254827094
38571.99921142157,38166.29733480741
38687.55771375627,37812.42406126706
38391.352446076184,37489.437949657964
38424.19128006172,37194.26706816665
38279.99784534643,36990.05191109362
38128.66129091242,36831.650303823066
38343.790198113056,36685.67694419426
38214.94080908861,36629.40633552487
38137.67020911504,36609.17920635418
38185.46665772468,36539.14540635792
38324.230540784934,36508.07869059768
38431.64666730913,36530.394108866465
38350.449303162306,36584.26806425318
38422.62994241829,36634.992020944264
38417.84053919705,36671.75371575893
38660.98765040912,36710.158718443316
39067.95030717036,36775.55924898268
38998.3263583055,36914.732983174334
39062.86034645276,37040.78757781703
39118.818687593455,37131.27880428639
39036.00143564158,37208.32301030167
38897.96747792963,37223.53043894872
39343.07751666408,37235.78693944968
38688.01050167287,37302.30382640411
39003.28750866751,37274.31294580143
39190.14059114555,37248.03563326243
39116.12928350264,37281.928370157286
38807.60115847174,37315.93040068718
38880.44146288208,37284.430413730886
39106.12110920822,37225.50553106767
39253.73777670675,37247.61797544281
39082.9235351709,37318.682258283734
39256.052459763145,37350.29934556329
39408.18139305119,37383.48167383038
39247.55097629464,37442.64466048423
39447.858885914975,37501.28069568342
39359.42862513495,37532.76116591917
39416.300348797056,37568.31672740428
39333.069342369665,37578.47713211893
39431.69123461721,37579.261704284756
39391.95909493591,37585.6436719023
39638.0688443264,37619.200721203815
39785.05707342344,37673.46110765728
39726.14780413666,37771.18132741574
39700.826810904255,37832.299889467984
39553.24917684681,37866.782031323244
39093.02929306803,37871.860282008514
39274.73776801095,37757.58597988553
39484.12095268375,37646.79346070741
39904.979514471546,37682.555899430285
40288.83827745405,37772.0751932166
40075.37219484367,37950.333111967535
39999.787839525,38099.83899801462
39895.27970436171,38164.03729856854
39843.06857356525,38172.60513888689
39804.26152643769,38141.67504017045
39754.19723490096,38084.72915297028
39833.94255503938,38042.826753964604
39831.14776065763,38016.190333767605
39531.12892578345,38024.071185522844
39546.05141031058,37977.24666959624
39541.012193066395,37887.52049857216
39501.600127601996,37828.23260490684
39468.10943515033,37799.20733811539
39616.73706877297,37764.299731752304
39412.08864050389,37759.740625833474
39146.13038632124,37740.22390529054
38819.04966674223,37652.68360696727
38757.962331442846,37497.166570992966
38921.0011115144,37341.07964677881
39290.261367530795,37263.98079394601
38957.44273211216,37299.66126244259
38995.7813779467,37310.16125809469
38517.910572108885,37303.78319382126
38650.628175144935,37216.93769074932
38539.870786063795,37120.30260065304
38336.85005228799,37021.87197226682
38564.68044121797,36913.73763042664
38570.32077345488,36869.52445170868
38615.93134936371,36874.5792823293
38593.420763889495,36887.60474161966
38641.52948002782,36910.38075449326
38720.248220665686,36944.464755249435
38698.639307680554,36981.06250961155
38664.10251900778,37013.643722885914
38562.619475528634,37022.60580095923
38720.466807935765,37008.19855785444
38722.91030134774,37010.5015308785
38671.35883570564,37021.10301347743
38605.119086182924,37024.795577004144
38636.71665674193,37008.288334768935
38568.21687098035,36988.49057345018
38580.738798880695,36968.708425507866
38556.159441028925,36953.74690753966
38525.70945363784,36943.36401221081
38265.96141993195,36934.140410082226
38489.876754721015,36876.80028512709
38440.88978615826,36832.94231072301
38315.40898309953,36834.59732862505
38361.089819202316,36789.704968032194
38487.71039874075,36747.90405597335
38329.94113321579,36751.94401712573
38320.78779128116,36745.7923468106
38258.627036351914,36726.7010907755
37639.798668064825,36696.26671676085
37710.94882447614,36549.69614548343
37950.94984033669,36372.07056847809
37849.037429005606,36282.89086562921
38063.76819510717,36258.90091273784
37970.86079863459,36268.280648630775
38085.299041210135,36286.43900542392
37975.900015878775,36328.04084693323
37980.100014139614,36350.3445551697
38049.63028274587,36343.94697417573
37987.80131206586,36359.267599801926
38037.807053440956,36361.149011662266
37963.869909336114,36372.77707376175
37967.69908990664,36367.843246808494
37940.09073702661,36355.293995499385
37999.499634359294,36350.516302310476
38495.28288631141,36343.31072908603
38509.53009230775,36456.562355052556
38379.48627998608,36604.96359471691
37930.020109226454,36691.89497135924
37796.39693035721,36646.136068374275
38324.60135847524,36518.10638161264
38343.66138775748,36484.44394202019
