actual,predicted
39827.75965797138,39141.606410499386
39417.76800618188,39454.818548460586
39779.198153916455,38825.04520329302
39524.86015514506,38818.967696515945
39570.010136449084,38794.64986271945
39514.910531012276,38832.27419658212
39496.12763916176,38562.767802604765
39761.648718804245,39161.41978519457
39900.896616533966,39182.263642734426
40124.55823395597,39415.29328601704
39957.03841484777,38888.73606911283
40199.3502104206,39101.50345312777
40179.692969489755,39259.19465177056
40202.020097790875,38688.67407017133
40161.077921435906,39664.795041437894
40389.43135847644,39933.15385224732
40635.75969513701,38779.57514777209
40418.85866971107,38879.6803107809
40025.32742002748,39396.584557704584
40194.826234598746,39522.88896637023
40099.389471143804,40089.34616675242
40015.14749859229,39906.23639127451
39679.5301654478,40081.309181232835
39299.3522559597,39427.99476774638
39542.94825174425,39163.72275821864
39723.591113745526,38732.92628233037
39849.22024388039,39219.79039299437
40097.46121915417,39166.923500387675
39958.388971909335,39008.748287075425
39890.42004094652,38780.17235942071
40069.91141643576,38976.06558685423
40093.12070050542,39015.4620389422
40141.42848719328,38924.76003189097
40211.489610598306,38968.44625915427
39971.50030477008,39462.92189083001
40143.79001037898,38893.97435690655
40173.837953326874,39376.86876661211
40098.51902540759,39427.47171963583
39820.44088776778,39638.18594464965
39721.139813645335,39744.17735057422
39731.370478553945,38889.80558539858
40548.78928505359,39851.61299381895
40667.82176364494,39432.71000742955
41172.040142215716,40087.207134180906
41020.4303536941,40176.32438352405
41046.512499027674,39958.053284315996
41376.01329195401,40640.78329900476
41067.610073934586,40351.31520325609
41245.910929470716,40827.148463469224
41223.76335499859,40854.15570135653
41304.83971547805,40232.96190653964
41147.737921795655,40511.70361267791
41194.80054171288,39917.75125639484
41489.82699947218,40601.687404413155
41424.98855048444,40370.004414848
41337.17892141768,40022.520915613415
41291.42782512094,40424.42483840992
41316.44045416876,39529.633944989866
41214.98863744249,40335.49494958399
41274.557571883626,40561.57664035332
41194.44924074311,40356.77988500811
41202.23641223974,40536.591334714256
40960.53744169195,40657.427158283775
40916.940991343145,40435.97093028312
41135.76246207051,40532.55527690598
40630.029585985605,39315.15299291125
40438.601784212304,39664.06121274547
39976.449745099766,39930.94455948186
39951.671316698455,39757.88979842768
39987.199554774816,39585.33076207529
39650.11066090139,39926.5532973597
39785.01023329414,39552.95252269456
39921.24865271613,39660.63407661814
39982.398441521254,39400.52303191015
39846.07024518476,39160.35807559703
39961.53116391675,38394.12772373739
39860.46968160133,39249.22941426133
39967.78822452281,39001.64029745369
40030.58912788586,39141.973324845596
40217.19239634095,39292.19742620865
40119.800057487606,39130.55213998387
40141.57681426941,39592.52852861152
40053.6110514383,38772.08072708361
