actual,predicted
10602.309424599182,10914.612884034566
10561.589577831206,10975.597642486064
10471.649844246751,11036.253367129233
10456.320439688165,11039.470374034312
10487.230487798519,11007.814260893445
10486.090347392912,11003.87095649285
10435.509688973772,11029.308585721266
10414.250023916233,11026.63741784706
10418.62056213772,10997.395494625445
10403.190406916894,10946.87732712339
10479.499468627624,10919.863396394607
10410.040176624394,10945.40496459736
10329.72021829663,10876.152912880383
10298.070481779956,10770.4648305279
10288.539979261961,10720.218944878863
10231.189896600143,10667.148852375001
10005.410213169333,10519.484728288633
10303.829848750553,10367.195638675503
10324.570456598829,10379.631331175566
10272.400743430937,10458.035113933507
10244.86010354386,10529.0241580805
10127.340195002336,10286.328565992028
10145.470212906235,10310.284267758125
9948.929902047363,10108.694308201271
10090.780457857496,10137.592531378914
10083.720259551645,10037.29333413145
10005.129641704865,10189.778186107289
10167.190270230467,10077.744087358506
10213.269031969756,10191.545786333429
10126.619636468593,10254.493907373773
10158.959323722887,10339.41587538121
10172.999374869765,10372.597914691323
10053.51929205149,10402.484514618793
10121.401007229513,10183.358200870356
10154.980310226814,10273.35787472222
10236.070564757023,10337.373442652377
10239.039520981016,10388.200876427763
10215.970169977667,10368.647596004117
10229.359805456917,10424.458361585883
10266.819921937727,10491.850989688348
10251.220148513383,10504.509864035146
10221.260217407702,10489.678473825988
10232.929439679836,10542.415068884588
10175.3600011458,10568.70525276753
10241.440957651883,10358.47751807962
10201.159822628344,10447.205055405097
10239.65040157865,10518.042973558728
10265.58923346859,10556.959511005087
10231.450062867194,10584.579221032149
10321.05948731848,10611.62057124496
10211.710585017128,10635.673835361198
10260.170378229868,10354.073821412334
10282.109791426321,10497.817596945199
10287.250625850253,10568.55285144933
10211.889130494515,10631.16173608264
10207.090083127297,10652.27792709585
10173.92908667702,10635.662357437652
10098.619879639662,10637.653139510527
10081.269085212078,10601.667936205424
10117.610741809536,10459.57315568872
10145.590093441053,10480.609638899525
10118.749606890304,10473.594076963022
10075.67040917113,10463.871638056833
10029.309800642535,10439.61878560337
9948.669735780311,10317.903696005651
10079.080627789237,10313.628169484631
10019.480872112334,10330.565758664545
10138.829596472246,10357.239177661453
10195.900382994434,10364.734261737227
10161.450033132447,10333.182087570696
10168.23986257254,10412.024582073076
10148.719740594694,10470.127744052019
10152.860720345254,10495.385552478208
10152.518933288538,10516.362733084023
10389.960187042454,10557.15846167989
10377.139346441167,10584.84831457307
10322.899781060414,10655.38398073998
10316.929985491468,10711.896174982912
10344.840469581704,10726.610872969348
10311.259891259564,10759.386721318404
10279.570619672897,10763.31153350884
10229.830400322318,10754.949866205316
10306.440438694932,10747.5064327855
10271.830673228134,10717.925910819267
10179.98050303563,10733.229808881084
10022.11059192929,10698.848964222794
10053.08950758092,10675.317307965495
9981.750386765765,10651.667684160635
10010.179928065265,10493.992897754582
9993.390276566615,10486.358803271414
10100.16939931842,10444.53261220605
10097.159632699597,10455.907872102915
10152.629886549488,10463.518373076573
10153.79043215251,10498.801510058089
9981.08976849943,10529.155516538864
9986.340280859471,10488.31515157365
10013.999525956528,10465.461330468004
10021.280355459436,10453.550434138977
10111.629468317044,10440.908139015079
10123.960584180351,10336.261359393218
10117.239622281537,10389.658572718152
10120.550365562243,10433.124193863387
9995.449926180767,10476.751781263109
10031.360522982819,10465.556342168471
10071.63018008281,10461.738657264466
10088.209402983111,10472.515152149663
10099.58019924304,10490.308484296202
10194.269242526012,10489.523521858113
10167.310150765285,10517.199983840488
10203.359757974731,10525.98569665281
10175.000359541347,10551.375501199782
10226.95071683702,10574.43783791652
10190.620538163108,10596.527101781492
10215.27001664134,10620.884530871712
10240.049578253096,10615.831056199217
10252.209800588047,10637.952203185152
10247.130181756364,10585.084887330608
10277.870611663198,10618.89885009819
10336.239678870965,10556.571812254188
10287.610267454706,10594.780544415187
10260.420341898212,10655.343808007567
10241.429479728336,10688.99006555889
10278.050432465423,10683.010067391235
10232.799356546311,10700.907338512108
10274.860845044373,10686.535702907226
10388.429797236273,10714.260627233463
10368.009295922455,10713.223150477355
10376.630491830612,10735.428468902632
10384.61019934501,10782.61931390108
10382.720167934376,10781.39882803065
10342.880295304954,10813.629475011254
10280.000404143468,10840.558596638277
10270.570652287712,10861.878839625644
10284.999677510326,10812.374555370185
10272.76931230926,10787.695744420667
10298.00926618771,10775.849889658402
10370.730839127782,10783.689949102987
10453.58996920897,10730.18688381646
10372.799416015803,10765.589263670374
10425.36958118298,10793.261899678235
10340.730097627269,10826.523009128334
10351.66983409179,10862.870404687566
10288.500444191966,10854.66879065127
10283.419550035444,10836.133857111154
10305.86016589342,10843.604710014997
10344.689981250764,10846.774529901051
10347.499521869944,10846.368976602413
10342.58952124178,10842.829312513199
10344.749921518172,10843.168548920235
10310.840309387702,10851.495144790702
10257.499848018082,10843.931830836069
10219.799970467637,10820.631646036954
10224.269984026525,10751.511590440761
10286.160223113347,10699.062581133241
10262.380516174962,10737.73489387303
10259.999484701511,10753.291943915287
10295.990426968388,10754.851666192753
10322.399853723728,10691.958384120462
10291.160771805045,10730.024917561972
10261.940529105685,10737.01943663864
10295.009702167594,10727.747187400439
10261.250578368064,10751.162789097436
10294.849011237944,10761.82259175991
10325.190264470333,10766.170174134304
10305.469916492844,10773.342601025943
10296.690580304716,10743.971869995641
